tier,institution,office,why_and_hook,page_url,public_office_contact,status,verified_on,ref
4,Emory University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,emory-university
4,Georgetown University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,georgetown-university
4,Georgia Institute of Technology,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1. Also listed in a higher tier; send one email, not two.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,georgia-institute-of-technol
4,Grinnell College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,grinnell-college
4,Hamilton College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,hamilton-college
4,Harvard University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,harvard-university
4,Haverford College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,haverford-college
4,Hope College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,hope-college
4,"Indiana University, Bloomington",National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,indiana-university-bloomingt
4,Johns Hopkins University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,johns-hopkins-university
4,Kenyon College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,kenyon-college
4,Lafayette College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,lafayette-college
4,Loyola University Maryland,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,loyola-university-maryland
4,Macalester College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,macalester-college
4,Massachusetts Institute of Technology,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,massachusetts-institute-of-t
4,Miami University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,miami-university
4,Middlebury College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1. Also listed in a higher tier; send one email, not two.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,middlebury-college
4,New York University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,new-york-university
4,Northwestern University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,northwestern-university
4,Oberlin College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,oberlin-college
4,Occidental College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,occidental-college
4,Pitzer College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,pitzer-college
4,Pomona College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,pomona-college
4,Princeton University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1. Also listed in a higher tier; send one email, not two.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,princeton-university
4,Reed College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,reed-college
4,Rhode Island School of Design,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,rhode-island-school-of-desig
4,Rhodes College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,rhodes-college
4,Rollins College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,rollins-college
4,"Rutgers University, New Brunswick",National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,rutgers-university-new-bruns
4,SUNY Geneseo,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,suny-geneseo
4,School of Visual Arts,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,school-of-visual-arts
4,School of the Art Institute of Chicago,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,school-of-art-institute-of-c
4,Scripps College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,scripps-college
4,Smith College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,smith-college
4,St. Catherine University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,st-catherine-university
4,Stanford University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,stanford-university
4,Swarthmore College,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,swarthmore-college
4,Texas State University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,texas-state-university
4,The Juilliard School,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,juilliard-school
4,The Ohio State University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,ohio-state-university
4,The University of Alabama,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-alabama
4,The University of Tampa,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-tampa
4,"The University of Tennessee, Knoxville",National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-tennessee-knox
4,Tufts University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1. Also listed in a higher tier; send one email, not two.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,tufts-university
4,Tulane University,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,tulane-university
4,United States Air Force Academy,National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,united-states-air-force-acad
4,"University of California, Los Angeles",National/prestigious fellowships office,"Fulbright U.S. Student top producer 2025-26: a busy, active fellowship office. Open its fellowships list before writing; if it still lists Payne, Pickering, Rangel or Mitchell as open, move the row to Tier 1.",https://fulbrightprogram.org/fulbright-top-producing-institutions/,,verified: on official 2025-26 list,2026-09-15,university-of-california-los
